ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
88759,2011,2011,2011,US,National,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,27.8,,,25.6,30.1,"14,304",,,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,0,,,,
110854,2011,2011,2011,AL,Alabama,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,40.9,,,35.9,46.1,"1,336",32.84057112,-86.63186076,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,1,,,,
113090,2011,2011,2011,AK,Alaska,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,17.6,,,15,20.6,"1,315",64.84507996,-147.722059,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,2,,,,
113826,2011,2011,2011,AZ,Arizona,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,24.1,,,21.3,27,"2,085",34.86597028,-111.7638113,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
89952,2011,2011,2011,AR,Arkansas,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,34.7,,,31.8,37.8,"1,331",34.74865012,-92.27449074,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
112348,2011,2011,2011,CO,Colorado,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,23,,,20,26.3,"1,485",38.84384076,-106.1336109,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
113153,2011,2011,2011,DE,Delaware,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,26.1,,,23.7,28.5,"2,197",39.00883067,-75.57774117,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,10,,,,
97194,2011,2011,2011,DC,District of Columbia,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,23.9,,,21.3,26.7,"1,241",38.89037139,-77.03196113,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,11,,,,
108612,2011,2011,2011,FL,Florida,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,26,,,24.4,27.7,"6,005",28.93204038,-81.92896054,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,12,,,,
100963,2011,2011,2011,GA,Georgia,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,28.2,,,26,30.6,"1,885",32.83968109,-83.62758035,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,13,,,,
103017,2011,2011,2011,HI,Hawaii,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,17.5,,,15.6,19.6,"4,169",21.30485044,-157.8577494,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,15,,,,
113932,2011,2011,2011,ID,Idaho,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,17.9,,,15.1,21,"1,690",43.68263001,-114.36373,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,16,,,,
90911,2011,2011,2011,IL,Illinois,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,26.1,,,23.5,28.8,"3,376",40.48501028,-88.99771018,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,17,,,,
117200,2011,2011,2011,IN,Indiana,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,28.5,,,24.8,32.4,"2,820",39.76691045,-86.14996019,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,18,,,,
105768,2011,2011,2011,IA,Iowa,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,28.1,,,24.7,31.8,"1,523",42.46940091,-93.81649056,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,19,,,,
114648,2011,2011,2011,KS,Kansas,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,23.1,,,20.5,26,"1,853",38.3477403,-98.20078123,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,20,,,,
105445,2011,2011,2011,KY,Kentucky,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,36.4,,,32.2,40.8,"1,786",37.64597027,-84.77497105,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,21,,,,
108928,2011,2011,2011,LA,Louisiana,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,40.1,,,32,48.8,"1,138",31.31266064,-92.44568007,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,22,,,,
92368,2011,2011,2011,MD,Maryland,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,24.9,,,21.7,28.4,"2,757",39.29058096,-76.60926011,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,24,,,,
109308,2011,2011,2011,MA,Massachusetts,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,18.3,,,16,20.9,"2,647",42.27687047,-72.08269068,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,25,,,,
116302,2011,2011,2011,MI,Michigan,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,23.6,,,21.2,26.2,"4,142",44.66131954,-84.71439027,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,26,,,,
97285,2011,2011,2011,MS,Mississippi,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,40.5,,,37.9,43.2,"1,813",32.7455101,-89.53803083,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,28,,,,
100410,2011,2011,2011,MT,Montana,YRBSS,Sugar Drinks,Sugar Drinks - Behavior,Percent of students in grades 9-12 who drank regular soda/pop at least one time per day †,,,VALUE,Value,23.4,,,21.6,25.3,"4,070",47.06652897,-109.4244206,SD,SD1,Q058,,Total,OVR,Total,OVERALL,,,,,,,,,30,,,,
